brand,name,rating,votes,url,last_crawled,sex,fragrance_category
Calvin Klein,Eternity For Men Collector Edition 2016 Calvin Klein,3.33,12,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-For-Men-Collector-Edition-2016-42467.html,2026-02-22T00:51:08.252707,men,Aromatic Fougere
Calvin Klein,Eternity for Men Eau de Parfum Calvin Klein,3.87,1271,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Men-Eau-de-Parfum-56669.html,2026-02-22T00:51:16.983773,men,Aromatic Fougere
Calvin Klein,Eternity for Men Intense Calvin Klein,3.42,206,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Men-Intense-41918.html,2026-02-22T00:51:25.736065,men,Woody Aromatic
Calvin Klein,Eternity for Men Reflections Calvin Klein,3.48,111,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Men-Reflections-79844.html,2026-02-22T00:51:36.080509,men,Aromatic Fougere
Calvin Klein,Eternity For Men Summer 2005 Calvin Klein,4.0,41,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-For-Men-Summer-2005-263.html,2026-02-22T00:51:45.087761,men,Aromatic Fougere
Calvin Klein,Eternity For Men Summer 2006 Calvin Klein,4.0,25,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-For-Men-Summer-2006-261.html,2026-02-22T00:51:53.057232,men,Aromatic Aquatic
Calvin Klein,Eternity For Men Summer 2007 Calvin Klein,4.07,42,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-For-Men-Summer-2007-2812.html,2026-02-22T00:52:02.918080,men,Aromatic Fruity
Calvin Klein,Eternity For Men Summer 2008 Calvin Klein,4.05,62,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-For-Men-Summer-2008-2751.html,2026-02-22T00:52:11.797351,men,Aromatic Fougere
Calvin Klein,Eternity For Men Summer 2009 Calvin Klein,3.36,33,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-For-Men-Summer-2009-5462.html,2026-02-22T00:52:20.826166,men,Aromatic
Calvin Klein,Eternity For Men Summer 2010 Calvin Klein,4.11,76,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-For-Men-Summer-2010-7975.html,2026-02-22T00:52:28.763028,men,Woody Aromatic
Calvin Klein,Eternity for Men Summer 2011 Calvin Klein,4.1,100,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Men-Summer-2011-11342.html,2026-02-22T00:52:37.004194,men,Woody Aromatic
Calvin Klein,Eternity for Men Summer 2012 Calvin Klein,3.8,96,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Men-Summer-2012-14020.html,2026-02-22T00:52:45.102235,men,Aromatic Fougere
Calvin Klein,Eternity for Men Summer 2013 Calvin Klein,3.89,94,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Men-Summer-2013-17563.html,2026-02-22T00:52:53.373115,men,Woody Aquatic
Calvin Klein,Eternity for Men Summer 2014 Calvin Klein,3.81,75,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Men-Summer-2014-23604.html,2026-02-22T00:53:01.640347,men,Aromatic Fougere
Calvin Klein,Eternity for Men Summer 2015 Calvin Klein,4.33,143,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Men-Summer-2015-29629.html,2026-02-22T00:53:10.038906,men,Aromatic Fougere
Calvin Klein,Eternity for Men Summer 2016 Calvin Klein,3.82,72,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Men-Summer-2016-35912.html,2026-02-22T00:53:19.037103,men,Aromatic Aquatic
Calvin Klein,Eternity for Men Summer 2017 Calvin Klein,3.79,96,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Men-Summer-2017-43378.html,2026-02-22T00:53:26.506864,men,Woody Aromatic
Calvin Klein,Eternity For Men Summer 2019 Calvin Klein,3.85,94,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-For-Men-Summer-2019-54344.html,2026-02-22T00:53:34.673655,men,Aromatic Fougere
Calvin Klein,Eternity For Men Summer 2020 Calvin Klein,3.86,109,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-For-Men-Summer-2020-59859.html,2026-02-22T00:53:42.926729,men,Oriental Spicy
Calvin Klein,Eternity for Women Reflections Calvin Klein,3.51,87,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Women-Reflections-79843.html,2026-02-22T00:53:51.118946,women,Floral Fruity
Calvin Klein,Eternity Intense Calvin Klein,3.8,615,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Intense-41917.html,2026-02-22T00:53:59.240739,women,Floral
Calvin Klein,Eternity Love Calvin Klein,3.87,71,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Love-264.html,2026-02-22T00:54:07.242578,women,Floral
Calvin Klein,Eternity Moment Calvin Klein,3.77,2801,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Moment-259.html,2026-02-22T00:54:15.295118,women,Floral
Calvin Klein,Eternity Night Calvin Klein,3.75,165,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Night-25921.html,2026-02-22T00:54:23.454487,women,Floral
Calvin Klein,Eternity Night for Men Calvin Klein,3.85,81,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Night-for-Men-25922.html,2026-02-22T00:54:31.508670,men,Woody Aromatic
Calvin Klein,Eternity Now For Men Calvin Klein,3.95,848,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Now-For-Men-31000.html,2026-02-22T00:54:39.441007,men,Oriental Fougere
Calvin Klein,Eternity Now For Women Calvin Klein,3.64,924,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Now-For-Women-31004.html,2026-02-22T00:54:46.968485,women,Floral
Calvin Klein,Eternity Parfum For Men Calvin Klein,3.86,330,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Parfum-For-Men-75798.html,2026-02-22T00:54:54.602213,a Calvin Klein release,bold
Calvin Klein,Eternity Purple Orchid Calvin Klein,3.91,443,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Purple-Orchid-265.html,2026-02-22T00:55:02.976981,women,floral woody musk
Calvin Klein,Eternity Rose Blush Calvin Klein,4.19,95,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Rose-Blush-266.html,2026-02-22T00:55:11.210029,women,Floral
Calvin Klein,Eternity Summer Calvin Klein,3.94,153,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Summer-262.html,2026-02-22T00:55:18.787030,women,Floral Aquatic
Calvin Klein,Eternity Summer 2006 Calvin Klein,4.05,82,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Summer-2006-260.html,2026-02-22T00:55:25.305051,women,Floral Green
Calvin Klein,Eternity Summer 2007 Calvin Klein,3.92,84,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Summer-2007-2813.html,2026-02-22T00:55:33.131329,women,Floral Fruity
Calvin Klein,Eternity Summer 2008 Calvin Klein,3.98,131,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Summer-2008-2657.html,2026-02-22T00:55:41.069757,women,Floral Green
Calvin Klein,Eternity Summer 2009 Calvin Klein,3.94,80,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Summer-2009-5461.html,2026-02-22T00:55:47.642207,women,Floral
Calvin Klein,Eternity Summer 2010 Calvin Klein,3.78,63,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Summer-2010-7974.html,2026-02-22T00:55:55.254964,women,Floral
Calvin Klein,Eternity Summer 2011 Calvin Klein,4.06,214,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Summer-2011-11340.html,2026-02-22T00:56:03.436482,women,Floral
Calvin Klein,Eternity Summer 2012 Calvin Klein,3.78,125,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Summer-2012-14021.html,2026-02-22T00:56:11.252169,women,Floral Fruity
Calvin Klein,Eternity Summer 2013 Calvin Klein,4.0,236,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Summer-2013-17562.html,2026-02-22T00:56:19.226266,women,Floral Aquatic
Calvin Klein,Eternity Summer 2014 Calvin Klein,3.86,149,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Summer-2014-23603.html,2026-02-22T00:56:27.114062,women,Floral Green
Calvin Klein,Eternity Summer 2015 Calvin Klein,3.58,102,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Summer-2015-29628.html,2026-02-22T00:56:34.477166,women,Floral Aquatic
Calvin Klein,Eternity Summer 2016 Calvin Klein,4.14,121,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Summer-2016-35911.html,2026-02-22T00:56:41.006042,women,Floral
Calvin Klein,Eternity Summer 2017 Calvin Klein,4.0,101,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Summer-2017-43376.html,2026-02-22T00:56:48.775106,women,Floral
Calvin Klein,Eternity Summer 2019 Calvin Klein,3.68,134,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Summer-2019-54345.html,2026-02-22T00:56:57.232062,women,Floral Fruity
Calvin Klein,Eternity Summer 2020 Calvin Klein,3.91,82,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Summer-2020-59858.html,2026-02-22T00:57:05.503293,women,Floral
Calvin Klein,Eternity Summer Daze For Men Calvin Klein,3.98,169,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Summer-Daze-For-Men-73287.html,2026-02-22T00:57:13.665907,men,Woody Aromatic
Calvin Klein,Eternity Summer Daze For Women Calvin Klein,3.59,44,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Summer-Daze-For-Women-73286.html,2026-02-22T00:57:21.012628,women,Floral Fruity
Calvin Klein,Deep Euphoria Calvin Klein,3.62,1355,https://www.fragrantica.com/perfume/Calvin-Klein/Deep-Euphoria-39604.html,2026-02-22T00:57:28.386629,women,Chypre Floral
Calvin Klein,Deep Euphoria Eau de Toilette Calvin Klein,3.64,203,https://www.fragrantica.com/perfume/Calvin-Klein/Deep-Euphoria-Eau-de-Toilette-43846.html,2026-02-22T00:57:36.662099,women,Chypre Floral
Calvin Klein,Endless Euphoria Calvin Klein,3.71,1486,https://www.fragrantica.com/perfume/Calvin-Klein/Endless-Euphoria-22535.html,2026-02-22T00:57:43.412034,women,Floral Fruity
Calvin Klein,Euphoria Calvin Klein,3.83,22983,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-253.html,2026-02-22T00:57:50.384770,women,Oriental Floral
Calvin Klein,Euphoria Amber Gold Calvin Klein,3.92,382,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Amber-Gold-49559.html,2026-02-22T00:57:57.192965,women,Oriental
Calvin Klein,Euphoria Amber Gold Men Calvin Klein,4.53,409,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Amber-Gold-Men-49560.html,2026-02-22T00:58:05.039356,men,Oriental Woody
Calvin Klein,Euphoria Blossom Calvin Klein,3.87,2585,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Blossom-254.html,2026-02-22T00:58:12.570709,women,Oriental Floral
Calvin Klein,Euphoria Blush Calvin Klein,3.61,153,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Blush-60172.html,2026-02-22T00:58:20.462374,women,Floral Fruity
Calvin Klein,Euphoria Collector Edition 2016 Calvin Klein,4.0,20,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Collector-Edition-2016-42468.html,2026-02-22T00:58:27.377377,women,Oriental Floral
Calvin Klein,Euphoria Crystal Edition Calvin Klein,3.99,84,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Crystal-Edition-3977.html,2026-02-22T00:58:34.585043,women,Oriental Floral
Calvin Klein,Euphoria Crystalline Calvin Klein,4.07,103,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Crystalline-1486.html,2026-02-22T00:58:41.703266,women,Floral
Calvin Klein,Euphoria Eau de Toilette Calvin Klein,3.83,840,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Eau-de-Toilette-7420.html,2026-02-22T00:58:49.377183,women,Oriental Floral
Calvin Klein,Euphoria Eau de Toilette (2023) Calvin Klein,3.7,306,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Eau-de-Toilette-2023-79868.html,2026-02-22T00:58:57.070291,women,Floral Fruity Gourmand
Calvin Klein,Euphoria Essence Calvin Klein,3.77,199,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Essence-31114.html,2026-02-22T00:59:05.577641,women,Floral Fruity
Calvin Klein,Euphoria Essence Men Calvin Klein,4.11,123,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Essence-Men-31115.html,2026-02-22T00:59:13.372018,men,Oriental
Calvin Klein,Euphoria Gold Calvin Klein,3.69,504,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Gold-25812.html,2026-02-22T00:59:21.012043,women,Oriental Floral
Calvin Klein,Euphoria Gold Men Calvin Klein,4.19,283,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Gold-Men-25813.html,2026-02-22T00:59:28.479580,men,Oriental Fougere
Calvin Klein,Euphoria Intense Calvin Klein,3.92,287,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Intense-68751.html,2026-02-22T00:59:35.268690,women,Chypre Fruity
Calvin Klein,Euphoria Luminous Lustre Calvin Klein,4.12,93,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Luminous-Lustre-1757.html,2026-02-22T00:59:43.832820,women,Oriental
Calvin Klein,Euphoria Men Calvin Klein,3.79,3729,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Men-799.html,2026-02-22T00:59:52.418293,men,Woody Aromatic
Calvin Klein,Euphoria Men Intense Calvin Klein,4.05,2014,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Men-Intense-1952.html,2026-02-22T01:00:00.221694,men,Oriental Woody
Calvin Klein,Euphoria Spring Temptation Calvin Klein,3.83,218,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Spring-Temptation-5460.html,2026-02-22T01:00:07.329193,women,Floral
Calvin Klein,Forbidden Euphoria Calvin Klein,3.9,2613,https://www.fragrantica.com/perfume/Calvin-Klein/Forbidden-Euphoria-12815.html,2026-02-22T01:00:16.272559,women,Floral Fruity
Calvin Klein,Liquid Gold Euphoria Calvin Klein,3.96,295,https://www.fragrantica.com/perfume/Calvin-Klein/Liquid-Gold-Euphoria-24786.html,2026-02-22T01:00:23.535811,women,Oriental Woody
Calvin Klein,Liquid Gold Euphoria Men Calvin Klein,4.28,224,https://www.fragrantica.com/perfume/Calvin-Klein/Liquid-Gold-Euphoria-Men-24787.html,2026-02-22T01:00:31.647362,men,Oriental Woody
Calvin Klein,My Euphoria Calvin Klein,3.63,496,https://www.fragrantica.com/perfume/Calvin-Klein/My-Euphoria-82739.html,2026-02-22T01:00:38.314863,women,Oriental Floral
Calvin Klein,Pure Gold Euphoria Men Calvin Klein,4.14,78,https://www.fragrantica.com/perfume/Calvin-Klein/Pure-Gold-Euphoria-Men-44224.html,2026-02-22T01:00:45.632393,men,Oriental Woody
Calvin Klein,Pure Gold Euphoria Women Calvin Klein,3.55,167,https://www.fragrantica.com/perfume/Calvin-Klein/Pure-Gold-Euphoria-Women-44223.html,2026-02-22T01:00:54.069341,women,Oriental Floral
Calvin Klein,Cotton Musk Body Mist Calvin Klein for women and men,3.6,53,https://www.fragrantica.com/perfume/Calvin-Klein/Cotton-Musk-Body-Mist-109953.html,2026-02-22T01:01:01.541802,women and men,
Calvin Klein,Nude Vanilla Body Mist Calvin Klein for women and men,3.94,64,https://www.fragrantica.com/perfume/Calvin-Klein/Nude-Vanilla-Body-Mist-109951.html,2026-02-22T01:01:08.996031,women and men,
Calvin Klein,Sheer Peach Body Mist Calvin Klein for women and men,3.52,48,https://www.fragrantica.com/perfume/Calvin-Klein/Sheer-Peach-Body-Mist-109950.html,2026-02-22T01:01:16.579094,women and men,Floral Fruity
Calvin Klein,Silky Coconut Body Mist Calvin Klein for women and men,3.84,61,https://www.fragrantica.com/perfume/Calvin-Klein/Silky-Coconut-Body-Mist-109949.html,2026-02-22T01:01:24.832893,women and men,
Calvin Klein,Dark Obsession Calvin Klein,4.09,613,https://www.fragrantica.com/perfume/Calvin-Klein/Dark-Obsession-17602.html,2026-02-22T01:01:31.868108,men,Oriental Woody
Calvin Klein,Obsessed for Men Calvin Klein,3.73,611,https://www.fragrantica.com/perfume/Calvin-Klein/Obsessed-for-Men-45709.html,2026-02-22T01:01:39.731519,men,Oriental Woody
Calvin Klein,Obsessed for Men Intense Calvin Klein,4.31,255,https://www.fragrantica.com/perfume/Calvin-Klein/Obsessed-for-Men-Intense-48102.html,2026-02-22T01:01:47.275429,men,Oriental Woody
Calvin Klein,Obsessed for Women Calvin Klein,3.71,1497,https://www.fragrantica.com/perfume/Calvin-Klein/Obsessed-for-Women-45708.html,2026-02-22T01:01:54.642941,women,Aromatic
Calvin Klein,Obsessed for Women Intense Calvin Klein,3.83,292,https://www.fragrantica.com/perfume/Calvin-Klein/Obsessed-for-Women-Intense-48101.html,2026-02-22T01:02:02.552541,women,Oriental
Calvin Klein,Obsession Calvin Klein,3.73,10220,https://www.fragrantica.com/perfume/Calvin-Klein/Obsession-248.html,2026-02-22T01:02:13.192438,women,Oriental Spicy
Calvin Klein,Obsession for Men Calvin Klein,3.86,6159,https://www.fragrantica.com/perfume/Calvin-Klein/Obsession-for-Men-249.html,2026-02-22T01:02:21.122570,men,Oriental Woody
Calvin Klein,Obsession for Men Summer Calvin Klein,2.98,43,https://www.fragrantica.com/perfume/Calvin-Klein/Obsession-for-Men-Summer-37048.html,2026-02-22T01:02:29.479576,men,Woody Aromatic
Calvin Klein,Obsession Night for Men Calvin Klein,3.74,1191,https://www.fragrantica.com/perfume/Calvin-Klein/Obsession-Night-for-Men-251.html,2026-02-22T01:02:36.997986,men,Oriental Woody
Calvin Klein,Obsession Night Woman Calvin Klein,3.89,2402,https://www.fragrantica.com/perfume/Calvin-Klein/Obsession-Night-Woman-250.html,2026-02-22T01:02:44.170629,women,Oriental Floral
Calvin Klein,Obsession Sheer Calvin Klein,3.96,262,https://www.fragrantica.com/perfume/Calvin-Klein/Obsession-Sheer-252.html,2026-02-22T01:02:52.603012,women,Oriental Floral
Calvin Klein,Obsession Summer Calvin Klein,3.87,60,https://www.fragrantica.com/perfume/Calvin-Klein/Obsession-Summer-37047.html,2026-02-22T01:02:59.353386,women,Floral Woody Musk
Calvin Klein,Secret Obsession Calvin Klein,3.64,3192,https://www.fragrantica.com/perfume/Calvin-Klein/Secret-Obsession-3592.html,2026-02-22T01:03:07.037470,women,Oriental Floral
Calvin Klein,Reveal Calvin Klein,3.77,4538,https://www.fragrantica.com/perfume/Calvin-Klein/Reveal-26372.html,2026-02-22T01:03:15.078871,women,Floral Woody Musk
Calvin Klein,Reveal Men Calvin Klein,3.94,1521,https://www.fragrantica.com/perfume/Calvin-Klein/Reveal-Men-27996.html,2026-02-22T01:03:23.248253,men,Aromatic
Calvin Klein,Truth Calvin Klein,3.98,4282,https://www.fragrantica.com/perfume/Calvin-Klein/Truth-267.html,2026-02-22T01:03:31.227898,women,Oriental Woody
Calvin Klein,Truth For Men Calvin Klein,3.97,1313,https://www.fragrantica.com/perfume/Calvin-Klein/Truth-For-Men-268.html,2026-02-22T01:03:38.619816,men,Aromatic Fougere
Calvin Klein,Truth Lush Calvin Klein,4.26,119,https://www.fragrantica.com/perfume/Calvin-Klein/Truth-Lush-269.html,2026-02-22T01:03:45.810582,women,Oriental Floral
Calvin Klein,Truth Sensual Bedtime Fragrance Calvin Klein,4.17,54,https://www.fragrantica.com/perfume/Calvin-Klein/Truth-Sensual-Bedtime-Fragrance-270.html,2026-02-22T01:03:53.867225,women,Oriental Woody
Calvin Klein,Calvin Klein Calvin Klein,4.51,92,https://www.fragrantica.com/perfume/Calvin-Klein/Calvin-Klein-14606.html,2026-02-22T01:04:01.551163,women,Chypre Floral
Calvin Klein,CK One Collector's Bottle Calvin Klein for women and men,3.75,4,https://www.fragrantica.com/perfume/Calvin-Klein/CK-One-Collector-s-Bottle-62846.html,2026-02-22T01:04:10.024148,women and men,Citrus Aromatic
Calvin Klein,Euphoria Crystal Shimmer Edition Calvin Klein,3.47,17,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Crystal-Shimmer-Edition-43508.html,2026-02-22T01:04:17.953494,women,Floral Fruity
